time,location,dissolved_oxygen
1958-04-01T00:00:00Z,CalCOFI 93.30,2.86
1958-05-01T00:00:00Z,CalCOFI 93.30,NaN
1958-06-01T00:00:00Z,CalCOFI 93.30,NaN
1958-07-01T00:00:00Z,CalCOFI 93.30,2.28
1958-08-01T00:00:00Z,CalCOFI 93.30,NaN
1958-09-01T00:00:00Z,CalCOFI 93.30,2.75
1958-10-01T00:00:00Z,CalCOFI 93.30,2.61
1958-11-01T00:00:00Z,CalCOFI 93.30,2.57
1958-12-01T00:00:00Z,CalCOFI 93.30,2.67
1959-01-01T00:00:00Z,CalCOFI 93.30,2.58
1959-02-01T00:00:00Z,CalCOFI 93.30,2.36
1959-03-01T00:00:00Z,CalCOFI 93.30,NaN
1959-04-01T00:00:00Z,CalCOFI 93.30,2.24
1959-05-01T00:00:00Z,CalCOFI 93.30,1.68
1959-06-01T00:00:00Z,CalCOFI 93.30,2.29
1959-07-01T00:00:00Z,CalCOFI 93.30,2.62
1959-08-01T00:00:00Z,CalCOFI 93.30,3.12
1959-09-01T00:00:00Z,CalCOFI 93.30,3.07
1959-10-01T00:00:00Z,CalCOFI 93.30,2.81
1959-11-01T00:00:00Z,CalCOFI 93.30,2.84
1959-12-01T00:00:00Z,CalCOFI 93.30,3.67
1960-01-01T00:00:00Z,CalCOFI 93.30,3.38
1960-02-01T00:00:00Z,CalCOFI 93.30,2.13
1960-03-01T00:00:00Z,CalCOFI 93.30,2.145
1960-04-01T00:00:00Z,CalCOFI 93.30,NaN
1960-05-01T00:00:00Z,CalCOFI 93.30,2.32
1960-06-01T00:00:00Z,CalCOFI 93.30,1.95
1960-07-01T00:00:00Z,CalCOFI 93.30,1.58
1960-08-01T00:00:00Z,CalCOFI 93.30,2.01
1960-09-01T00:00:00Z,CalCOFI 93.30,NaN
1960-10-01T00:00:00Z,CalCOFI 93.30,NaN
1960-11-01T00:00:00Z,CalCOFI 93.30,NaN
1960-12-01T00:00:00Z,CalCOFI 93.30,NaN
1961-01-01T00:00:00Z,CalCOFI 93.30,NaN
1961-02-01T00:00:00Z,CalCOFI 93.30,2.62
1961-03-01T00:00:00Z,CalCOFI 93.30,NaN
