time,productivity_anomaly,species_cohort
2004-01-01T00:00:00Z,0.582,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2005-01-01T00:00:00Z,-0.378,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2006-01-01T00:00:00Z,-0.578,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2007-01-01T00:00:00Z,-0.368,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2008-01-01T00:00:00Z,-0.138,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2009-01-01T00:00:00Z,-0.088,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2010-01-01T00:00:00Z,0.462,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2011-01-01T00:00:00Z,-0.088,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2012-01-01T00:00:00Z,-0.128,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2013-01-01T00:00:00Z,0.222,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2014-01-01T00:00:00Z,0.372,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2015-01-01T00:00:00Z,-0.128,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2016-01-01T00:00:00Z,-0.488,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2017-01-01T00:00:00Z,-0.218,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2018-01-01T00:00:00Z,-0.248,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2019-01-01T00:00:00Z,-0.588,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1986-01-01T00:00:00Z,-0.019,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1987-01-01T00:00:00Z,-0.149,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1988-01-01T00:00:00Z,0.351,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1989-01-01T00:00:00Z,0.211,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1990-01-01T00:00:00Z,-0.179,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1991-01-01T00:00:00Z,-0.039,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1992-01-01T00:00:00Z,0.161,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1993-01-01T00:00:00Z,-0.119,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1994-01-01T00:00:00Z,0.041,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1995-01-01T00:00:00Z,-0.049,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1996-01-01T00:00:00Z,-0.109,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1997-01-01T00:00:00Z,-0.019,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1998-01-01T00:00:00Z,-0.439,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1999-01-01T00:00:00Z,0.041,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2000-01-01T00:00:00Z,0.091,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2001-01-01T00:00:00Z,0.071,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2002-01-01T00:00:00Z,0.051,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2003-01-01T00:00:00Z,-0.119,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2004-01-01T00:00:00Z,0.041,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2005-01-01T00:00:00Z,-0.239,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2006-01-01T00:00:00Z,-0.149,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2007-01-01T00:00:00Z,-0.039,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2008-01-01T00:00:00Z,0.151,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2009-01-01T00:00:00Z,0.031,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2010-01-01T00:00:00Z,0.181,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2011-01-01T00:00:00Z,-0.029,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2012-01-01T00:00:00Z,-0.129,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2013-01-01T00:00:00Z,0.081,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2014-01-01T00:00:00Z,0.081,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2015-01-01T00:00:00Z,0.051,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2016-01-01T00:00:00Z,0.131,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2017-01-01T00:00:00Z,0.071,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2018-01-01T00:00:00Z,0.151,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
2019-01-01T00:00:00Z,-0.159,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
