time,beuti,latitude
2001-04-01T00:00:00Z,25.426,39
2001-04-01T00:00:00Z,3.503,33
2001-05-01T00:00:00Z,5.048,45
2001-05-01T00:00:00Z,35.774,39
2001-05-01T00:00:00Z,0.013,33
2001-06-01T00:00:00Z,1.273,45
2001-06-01T00:00:00Z,32.484,39
2001-06-01T00:00:00Z,0.112,33
2001-07-01T00:00:00Z,2.678,45
2001-07-01T00:00:00Z,21.196,39
2001-07-01T00:00:00Z,0.169,33
2001-08-01T00:00:00Z,0.21,45
2001-08-01T00:00:00Z,9.63,39
2001-08-01T00:00:00Z,0.067,33
2001-09-01T00:00:00Z,1.135,45
2001-09-01T00:00:00Z,6.161,39
2001-09-01T00:00:00Z,0.036,33
2001-10-01T00:00:00Z,0.272,45
2001-10-01T00:00:00Z,9.323,39
2001-10-01T00:00:00Z,0.013,33
2001-11-01T00:00:00Z,-3.304,45
2001-11-01T00:00:00Z,0.97,39
2001-11-01T00:00:00Z,0.076,33
2001-12-01T00:00:00Z,-2.247,45
2001-12-01T00:00:00Z,4.675,39
2001-12-01T00:00:00Z,1.302,33
2002-01-01T00:00:00Z,-2.613,45
2002-01-01T00:00:00Z,12.807,39
2002-01-01T00:00:00Z,1.448,33
2002-02-01T00:00:00Z,1.159,45
2002-02-01T00:00:00Z,4.81,39
2002-02-01T00:00:00Z,1.666,33
2002-03-01T00:00:00Z,3.336,45
2002-03-01T00:00:00Z,18.625,39
2002-03-01T00:00:00Z,4.543,33
2002-04-01T00:00:00Z,9.225,45
2002-04-01T00:00:00Z,25.684,39
2002-04-01T00:00:00Z,2.233,33
2002-05-01T00:00:00Z,5.094,45
2002-05-01T00:00:00Z,35.645,39
2002-05-01T00:00:00Z,1.554,33
2002-06-01T00:00:00Z,1.324,45
2002-06-01T00:00:00Z,50.279,39
2002-06-01T00:00:00Z,0.338,33
2002-07-01T00:00:00Z,2.078,45
2002-07-01T00:00:00Z,17.338,39
2002-07-01T00:00:00Z,0.111,33
2002-08-01T00:00:00Z,2.656,45
2002-08-01T00:00:00Z,17.016,39
2002-08-01T00:00:00Z,0.036,33
2002-09-01T00:00:00Z,1.375,45
2002-09-01T00:00:00Z,5.542,39
2002-09-01T00:00:00Z,0.011,33
2002-10-01T00:00:00Z,2.805,45
2002-10-01T00:00:00Z,10.907,39
2002-10-01T00:00:00Z,0.025,33
2002-11-01T00:00:00Z,-6.708,45
2002-11-01T00:00:00Z,-1.168,39
2002-11-01T00:00:00Z,0.082,33
2002-12-01T00:00:00Z,-3.578,45
2002-12-01T00:00:00Z,-3.741,39
2002-12-01T00:00:00Z,0.242,33
2003-01-01T00:00:00Z,-2.239,45
2003-01-01T00:00:00Z,-0.322,39
2003-01-01T00:00:00Z,0.27,33
2003-02-01T00:00:00Z,0.661,45
2003-02-01T00:00:00Z,6.145,39
2003-02-01T00:00:00Z,0.364,33
2003-03-01T00:00:00Z,-3.281,45
2003-03-01T00:00:00Z,8.352,39
2003-03-01T00:00:00Z,1.844,33
2003-04-01T00:00:00Z,-1.773,45
2003-04-01T00:00:00Z,8.566,39
2003-04-01T00:00:00Z,2.431,33
2003-05-01T00:00:00Z,1.385,45
2003-05-01T00:00:00Z,28.824,39
2003-05-01T00:00:00Z,1.24,33
2003-06-01T00:00:00Z,2.148,45
2003-06-01T00:00:00Z,32.966,39
2003-06-01T00:00:00Z,0.673,33
2003-07-01T00:00:00Z,2.133,45
2003-07-01T00:00:00Z,24.147,39
2003-07-01T00:00:00Z,0.15,33
2003-08-01T00:00:00Z,0.758,45
2003-08-01T00:00:00Z,3.365,39
2003-08-01T00:00:00Z,0.05,33
2003-09-01T00:00:00Z,1.34,45
2003-09-01T00:00:00Z,3.004,39
2003-09-01T00:00:00Z,0.015,33
2003-10-01T00:00:00Z,-0.363,45
2003-10-01T00:00:00Z,7.212,39
2003-10-01T00:00:00Z,0.024,33
2003-11-01T00:00:00Z,-0.252,45
2003-11-01T00:00:00Z,0.291,39
2003-11-01T00:00:00Z,0.097,33
2003-12-01T00:00:00Z,-1.452,45
2003-12-01T00:00:00Z,-2.752,39
2003-12-01T00:00:00Z,0.305,33
2004-01-01T00:00:00Z,-2.698,45
2004-01-01T00:00:00Z,2.505,39
2004-01-01T00:00:00Z,0.952,33
2004-02-01T00:00:00Z,-2.219,45
2004-02-01T00:00:00Z,0.99,39
2004-02-01T00:00:00Z,1.807,33
2004-03-01T00:00:00Z,2.348,45
2004-03-01T00:00:00Z,19.905,39
2004-03-01T00:00:00Z,1.441,33
2004-04-01T00:00:00Z,0.962,45
2004-04-01T00:00:00Z,12.705,39
2004-04-01T00:00:00Z,0.729,33
2004-05-01T00:00:00Z,0.413,45
2004-05-01T00:00:00Z,15.662,39
2004-05-01T00:00:00Z,0.37,33
2004-06-01T00:00:00Z,0.524,45
2004-06-01T00:00:00Z,19.932,39
2004-06-01T00:00:00Z,0.249,33
2004-07-01T00:00:00Z,0.803,45
2004-07-01T00:00:00Z,6.035,39
2004-07-01T00:00:00Z,0.062,33
2004-08-01T00:00:00Z,0.548,45
2004-08-01T00:00:00Z,3.154,39
2004-08-01T00:00:00Z,0.044,33
2004-09-01T00:00:00Z,0.232,45
2004-09-01T00:00:00Z,8.163,39
2004-09-01T00:00:00Z,0.008,33
2004-10-01T00:00:00Z,-0.038,45
2004-10-01T00:00:00Z,2.511,39
2004-10-01T00:00:00Z,0.005,33
2004-11-01T00:00:00Z,2.064,45
2004-11-01T00:00:00Z,9.429,39
2004-11-01T00:00:00Z,0.058,33
2004-12-01T00:00:00Z,-1.408,45
2004-12-01T00:00:00Z,2.098,39
2004-12-01T00:00:00Z,0.079,33
2005-01-01T00:00:00Z,-3.96,45
2005-01-01T00:00:00Z,-3.713,39
2005-01-01T00:00:00Z,0.219,33
2005-02-01T00:00:00Z,1.764,45
2005-02-01T00:00:00Z,-0.148,39
2005-02-01T00:00:00Z,0.14,33
2005-03-01T00:00:00Z,-1.503,45
2005-03-01T00:00:00Z,3.883,39
2005-03-01T00:00:00Z,0.461,33
2005-04-01T00:00:00Z,0.623,45
2005-04-01T00:00:00Z,14.673,39
2005-04-01T00:00:00Z,2.305,33
2005-05-01T00:00:00Z,-0.182,45
2005-05-01T00:00:00Z,6.595,39
2005-05-01T00:00:00Z,0.353,33
2005-06-01T00:00:00Z,0.108,45
2005-06-01T00:00:00Z,22.635,39
2005-06-01T00:00:00Z,0.357,33
2005-07-01T00:00:00Z,1.121,45
2005-07-01T00:00:00Z,17.63,39
2005-07-01T00:00:00Z,0.152,33
2005-08-01T00:00:00Z,1.52,45
2005-08-01T00:00:00Z,14.45,39
2005-08-01T00:00:00Z,0.014,33
2005-09-01T00:00:00Z,1.985,45
2005-09-01T00:00:00Z,13.905,39
2005-09-01T00:00:00Z,0.013,33
2005-10-01T00:00:00Z,-0.356,45
2005-10-01T00:00:00Z,5.216,39
2005-10-01T00:00:00Z,0.043,33
2005-11-01T00:00:00Z,0.055,45
2005-11-01T00:00:00Z,4.768,39
2005-11-01T00:00:00Z,0.217,33
2005-12-01T00:00:00Z,-4.977,45
2005-12-01T00:00:00Z,0.62,39
2005-12-01T00:00:00Z,0.659,33
2006-01-01T00:00:00Z,-1.918,45
2006-01-01T00:00:00Z,0.436,39
2006-01-01T00:00:00Z,1.138,33
2006-02-01T00:00:00Z,0.474,45
2006-02-01T00:00:00Z,7.256,39
2006-02-01T00:00:00Z,0.86,33
2006-03-01T00:00:00Z,-6.512,45
2006-03-01T00:00:00Z,3.812,39
2006-03-01T00:00:00Z,3.719,33
2006-04-01T00:00:00Z,2.45,45
2006-04-01T00:00:00Z,16.844,39
