time,upwelling_index,nobs,stdev
2001-05-01T00:00:00Z,312.8924,124,355.994
2001-06-01T00:00:00Z,336.9276,120,278.57
2001-07-01T00:00:00Z,298.5313,124,194.859
2001-08-01T00:00:00Z,208.1692,121,200.604
2001-09-01T00:00:00Z,115.4726,120,164.289
2001-10-01T00:00:00Z,116.9474,124,173.125
2001-11-01T00:00:00Z,-55.8818,113,229.543
2001-12-01T00:00:00Z,-42.8813,124,334.774
2002-01-01T00:00:00Z,-35.6473,124,318.635
2002-02-01T00:00:00Z,-0.5093,111,140.283
2002-03-01T00:00:00Z,88.8709,124,230.648
2002-04-01T00:00:00Z,159.5626,119,248.708
2002-05-01T00:00:00Z,263.7209,124,306.213
2002-06-01T00:00:00Z,448.8212,120,501.328
2002-07-01T00:00:00Z,213.171,124,187.539
2002-08-01T00:00:00Z,201.8541,124,157.996
2002-09-01T00:00:00Z,86.105,116,72.299
2002-10-01T00:00:00Z,139.1258,123,162.589
2002-11-01T00:00:00Z,-38.9512,115,230.502
2002-12-01T00:00:00Z,-280.4601,122,514.299
2003-01-01T00:00:00Z,-117.2062,114,174.198
2003-02-01T00:00:00Z,62.8981,111,110.136
2003-03-01T00:00:00Z,-13.983,116,313.114
2003-04-01T00:00:00Z,-1.0366,120,140.159
2003-05-01T00:00:00Z,266.3612,123,288.539
2003-06-01T00:00:00Z,346.5649,120,350.828
2003-07-01T00:00:00Z,283.0269,124,166.162
2003-08-01T00:00:00Z,156.1878,123,146.271
2003-09-01T00:00:00Z,165.3744,120,210.797
2003-10-01T00:00:00Z,55.2387,124,89.012
2003-11-01T00:00:00Z,-46.241,117,149.7
2003-12-01T00:00:00Z,-112.8844,123,195.931
2004-01-01T00:00:00Z,-81.5002,124,205.731
2004-02-01T00:00:00Z,-97.0808,116,275.321
2004-03-01T00:00:00Z,109.6707,124,140.507
2004-04-01T00:00:00Z,72.016,120,112.414
2004-05-01T00:00:00Z,86.1121,120,73.785
2004-06-01T00:00:00Z,188.2307,120,165.374
2004-07-01T00:00:00Z,99.76,123,69.007
2004-08-01T00:00:00Z,72.9484,120,65.37
2004-09-01T00:00:00Z,129.2259,120,103.994
2004-10-01T00:00:00Z,40.2352,122,91.954
2004-11-01T00:00:00Z,98.1905,120,168.303
2004-12-01T00:00:00Z,3.9906,122,167.621
2005-01-01T00:00:00Z,-45.533,124,142.717
2005-02-01T00:00:00Z,0.8504,112,109.324
2005-03-01T00:00:00Z,15.6622,124,112.835
2005-04-01T00:00:00Z,87.9704,117,133.156
2005-05-01T00:00:00Z,74.5523,124,151.193
2005-06-01T00:00:00Z,197.1365,120,213.953
2005-07-01T00:00:00Z,158.1158,124,128.221
2005-08-01T00:00:00Z,131.4161,124,97.048
2005-09-01T00:00:00Z,121.8351,120,82.213
2005-10-01T00:00:00Z,69.2237,124,89.063
2005-11-01T00:00:00Z,38.9511,120,99.996
2005-12-01T00:00:00Z,-141.1844,124,277.488
2006-01-01T00:00:00Z,-18.2532,124,101.806
2006-02-01T00:00:00Z,43.2438,112,223.617
2006-03-01T00:00:00Z,-35.8389,123,228.01
2006-04-01T00:00:00Z,77.8645,120,230.592
2006-05-01T00:00:00Z,187.2317,124,217.661
2006-06-01T00:00:00Z,192.4128,120,209.525
2006-07-01T00:00:00Z,186.0568,124,95.542
2006-08-01T00:00:00Z,187.2537,124,139.917
2006-09-01T00:00:00Z,157.4348,119,148.867
2006-10-01T00:00:00Z,97.2565,124,100.559
2006-11-01T00:00:00Z,15.5851,120,64.039
2006-12-01T00:00:00Z,-14.1327,124,216.692
2007-01-01T00:00:00Z,90.2147,124,123.385
2007-02-01T00:00:00Z,29.024,112,145.198
2007-03-01T00:00:00Z,115.9049,124,143.261
2007-04-01T00:00:00Z,132.0192,120,142.952
2007-05-01T00:00:00Z,185.3527,124,145.249
2007-06-01T00:00:00Z,209.1233,120,174.622
2007-07-01T00:00:00Z,148.4023,124,164.905
2007-08-01T00:00:00Z,120.0857,124,114.649
2007-09-01T00:00:00Z,91.8116,119,93.591
2007-10-01T00:00:00Z,57.4057,124,162.203
2007-11-01T00:00:00Z,63.5586,120,85.309
2007-12-01T00:00:00Z,-21.7387,123,386.465
2008-01-01T00:00:00Z,-38.7029,118,244.263
2008-02-01T00:00:00Z,16.4288,116,327.175
2008-03-01T00:00:00Z,115.7752,124,125.701
2008-04-01T00:00:00Z,130.2347,120,152.085
2008-05-01T00:00:00Z,273.5483,124,289.97
2008-06-01T00:00:00Z,288.121,120,214.335
2008-07-01T00:00:00Z,167.3208,124,147.712
2008-08-01T00:00:00Z,182.9806,124,168.257
2008-09-01T00:00:00Z,105.7112,119,127.123
2008-10-01T00:00:00Z,113.2343,124,199.82
2008-11-01T00:00:00Z,13.0659,115,129.332
2008-12-01T00:00:00Z,30.4274,116,110.669
2009-01-01T00:00:00Z,52.4224,124,87.472
2009-02-01T00:00:00Z,-68.779,112,240.336
2009-03-01T00:00:00Z,109.9466,124,219.602
2009-04-01T00:00:00Z,170.7162,120,185.33
2009-05-01T00:00:00Z,190.2336,124,211.088
2009-06-01T00:00:00Z,171.9553,120,199.327
2009-07-01T00:00:00Z,146.651,124,100.444
2009-08-01T00:00:00Z,133.4058,124,125.228
2009-09-01T00:00:00Z,103.9553,120,91.854
2009-10-01T00:00:00Z,76.372,124,166.923
2009-11-01T00:00:00Z,35.0817,120,137.171
2009-12-01T00:00:00Z,-39.7486,124,129.458
2010-01-01T00:00:00Z,-183.2976,124,315.969
2010-02-01T00:00:00Z,-81.4372,112,214.499
2010-03-01T00:00:00Z,33.3549,124,116.895
2010-04-01T00:00:00Z,97.3965,120,211.339
2010-05-01T00:00:00Z,127.5269,123,138.826
2010-06-01T00:00:00Z,280.1967,120,230.06
2010-07-01T00:00:00Z,195.8654,124,171.315
2010-08-01T00:00:00Z,155.4346,124,118.909
2010-09-01T00:00:00Z,110.8307,120,152.6
2010-10-01T00:00:00Z,57.4747,124,174.903
2010-11-01T00:00:00Z,64.1102,120,134.566
2010-12-01T00:00:00Z,-108.4812,124,193.211
2011-01-01T00:00:00Z,35.384,123,112.885
2011-02-01T00:00:00Z,54.7637,112,214.97
2011-03-01T00:00:00Z,-76.367,124,195.022
2011-04-01T00:00:00Z,114.2945,120,151.305
