time,cuti,latitude
2001-12-01T00:00:00Z,-0.257,45
2001-12-01T00:00:00Z,0.443,39
2001-12-01T00:00:00Z,0.469,33
2002-01-01T00:00:00Z,-0.312,45
2002-01-01T00:00:00Z,0.968,39
2002-01-01T00:00:00Z,0.51,33
2002-02-01T00:00:00Z,0.089,45
2002-02-01T00:00:00Z,0.339,39
2002-02-01T00:00:00Z,0.465,33
2002-03-01T00:00:00Z,0.236,45
2002-03-01T00:00:00Z,1.167,39
2002-03-01T00:00:00Z,0.957,33
2002-04-01T00:00:00Z,0.678,45
2002-04-01T00:00:00Z,1.397,39
2002-04-01T00:00:00Z,0.568,33
2002-05-01T00:00:00Z,0.428,45
2002-05-01T00:00:00Z,1.833,39
2002-05-01T00:00:00Z,0.728,33
2002-06-01T00:00:00Z,0.363,45
2002-06-01T00:00:00Z,2.751,39
2002-06-01T00:00:00Z,0.418,33
2002-07-01T00:00:00Z,0.652,45
2002-07-01T00:00:00Z,1.617,39
2002-07-01T00:00:00Z,0.307,33
2002-08-01T00:00:00Z,0.543,45
2002-08-01T00:00:00Z,1.656,39
2002-08-01T00:00:00Z,0.372,33
2002-09-01T00:00:00Z,0.344,45
2002-09-01T00:00:00Z,0.727,39
2002-09-01T00:00:00Z,0.44,33
2002-10-01T00:00:00Z,0.343,45
2002-10-01T00:00:00Z,1.196,39
2002-10-01T00:00:00Z,0.315,33
2002-11-01T00:00:00Z,-0.867,45
2002-11-01T00:00:00Z,-0.025,39
2002-11-01T00:00:00Z,0.266,33
2002-12-01T00:00:00Z,-1.022,45
2002-12-01T00:00:00Z,-0.591,39
2002-12-01T00:00:00Z,0.381,33
2003-01-01T00:00:00Z,-0.534,45
2003-01-01T00:00:00Z,-0.015,39
2003-01-01T00:00:00Z,0.303,33
2003-02-01T00:00:00Z,0.116,45
2003-02-01T00:00:00Z,0.862,39
2003-02-01T00:00:00Z,0.371,33
2003-03-01T00:00:00Z,-0.463,45
2003-03-01T00:00:00Z,0.712,39
2003-03-01T00:00:00Z,0.794,33
2003-04-01T00:00:00Z,-0.25,45
2003-04-01T00:00:00Z,0.706,39
2003-04-01T00:00:00Z,0.716,33
2003-05-01T00:00:00Z,0.454,45
2003-05-01T00:00:00Z,1.722,39
2003-05-01T00:00:00Z,0.534,33
2003-06-01T00:00:00Z,0.918,45
2003-06-01T00:00:00Z,2.221,39
2003-06-01T00:00:00Z,0.513,33
2003-07-01T00:00:00Z,0.68,45
2003-07-01T00:00:00Z,1.78,39
2003-07-01T00:00:00Z,0.317,33
2003-08-01T00:00:00Z,0.513,45
2003-08-01T00:00:00Z,0.966,39
2003-08-01T00:00:00Z,0.792,33
2003-09-01T00:00:00Z,0.501,45
2003-09-01T00:00:00Z,0.81,39
2003-09-01T00:00:00Z,0.611,33
2003-10-01T00:00:00Z,-0.318,45
2003-10-01T00:00:00Z,0.983,39
2003-10-01T00:00:00Z,0.312,33
2003-11-01T00:00:00Z,-0.213,45
2003-11-01T00:00:00Z,0.132,39
2003-11-01T00:00:00Z,0.428,33
2003-12-01T00:00:00Z,-0.5,45
2003-12-01T00:00:00Z,-0.324,39
2003-12-01T00:00:00Z,0.269,33
2004-01-01T00:00:00Z,-0.336,45
2004-01-01T00:00:00Z,0.258,39
2004-01-01T00:00:00Z,0.418,33
2004-02-01T00:00:00Z,-0.266,45
2004-02-01T00:00:00Z,0.111,39
2004-02-01T00:00:00Z,0.574,33
2004-03-01T00:00:00Z,0.233,45
2004-03-01T00:00:00Z,1.58,39
2004-03-01T00:00:00Z,0.55,33
2004-04-01T00:00:00Z,0.117,45
2004-04-01T00:00:00Z,1.02,39
2004-04-01T00:00:00Z,0.672,33
2004-05-01T00:00:00Z,0.279,45
2004-05-01T00:00:00Z,1.87,39
2004-05-01T00:00:00Z,0.972,33
2004-06-01T00:00:00Z,0.535,45
2004-06-01T00:00:00Z,1.75,39
2004-06-01T00:00:00Z,0.49,33
2004-07-01T00:00:00Z,0.486,45
2004-07-01T00:00:00Z,1.161,39
2004-07-01T00:00:00Z,0.555,33
2004-08-01T00:00:00Z,0.364,45
2004-08-01T00:00:00Z,0.663,39
2004-08-01T00:00:00Z,0.362,33
2004-09-01T00:00:00Z,0.404,45
2004-09-01T00:00:00Z,1.396,39
2004-09-01T00:00:00Z,0.43,33
2004-10-01T00:00:00Z,0.029,45
2004-10-01T00:00:00Z,0.477,39
2004-10-01T00:00:00Z,0.248,33
2004-11-01T00:00:00Z,0.576,45
2004-11-01T00:00:00Z,1.17,39
2004-11-01T00:00:00Z,0.372,33
2004-12-01T00:00:00Z,-0.13,45
2004-12-01T00:00:00Z,0.154,39
2004-12-01T00:00:00Z,0.132,33
2005-01-01T00:00:00Z,-0.362,45
2005-01-01T00:00:00Z,-0.349,39
2005-01-01T00:00:00Z,0.314,33
2005-02-01T00:00:00Z,0.299,45
2005-02-01T00:00:00Z,-0.051,39
2005-02-01T00:00:00Z,0.167,33
2005-03-01T00:00:00Z,-0.271,45
2005-03-01T00:00:00Z,0.472,39
2005-03-01T00:00:00Z,0.481,33
2005-04-01T00:00:00Z,0.146,45
2005-04-01T00:00:00Z,1.159,39
2005-04-01T00:00:00Z,0.815,33
2005-05-01T00:00:00Z,-0.019,45
2005-05-01T00:00:00Z,0.941,39
2005-05-01T00:00:00Z,0.749,33
2005-06-01T00:00:00Z,0.539,45
2005-06-01T00:00:00Z,1.865,39
2005-06-01T00:00:00Z,0.843,33
2005-07-01T00:00:00Z,0.832,45
2005-07-01T00:00:00Z,1.765,39
2005-07-01T00:00:00Z,0.314,33
2005-08-01T00:00:00Z,0.539,45
2005-08-01T00:00:00Z,1.386,39
2005-08-01T00:00:00Z,0.224,33
2005-09-01T00:00:00Z,0.545,45
2005-09-01T00:00:00Z,1.323,39
2005-09-01T00:00:00Z,0.519,33
2005-10-01T00:00:00Z,-0.298,45
2005-10-01T00:00:00Z,0.527,39
2005-10-01T00:00:00Z,0.5,33
2005-11-01T00:00:00Z,0.026,45
2005-11-01T00:00:00Z,0.754,39
2005-11-01T00:00:00Z,0.468,33
2005-12-01T00:00:00Z,-0.574,45
2005-12-01T00:00:00Z,0.118,39
