time,average_ESI,vessel_category
1997-01-01T00:00:00Z,1.8,vess_2018_CA_rev_5k
1998-01-01T00:00:00Z,1.69,vess_2018_CA_rev_5k
1999-01-01T00:00:00Z,1.71,vess_2018_CA_rev_5k
2000-01-01T00:00:00Z,1.73,vess_2018_CA_rev_5k
2001-01-01T00:00:00Z,1.78,vess_2018_CA_rev_5k
2002-01-01T00:00:00Z,1.68,vess_2018_CA_rev_5k
2003-01-01T00:00:00Z,1.63,vess_2018_CA_rev_5k
2004-01-01T00:00:00Z,1.6,vess_2018_CA_rev_5k
2005-01-01T00:00:00Z,1.59,vess_2018_CA_rev_5k
2006-01-01T00:00:00Z,1.53,vess_2018_CA_rev_5k
2007-01-01T00:00:00Z,1.61,vess_2018_CA_rev_5k
2008-01-01T00:00:00Z,1.47,vess_2018_CA_rev_5k
2009-01-01T00:00:00Z,1.49,vess_2018_CA_rev_5k
2010-01-01T00:00:00Z,1.51,vess_2018_CA_rev_5k
2011-01-01T00:00:00Z,1.52,vess_2018_CA_rev_5k
2012-01-01T00:00:00Z,1.54,vess_2018_CA_rev_5k
2013-01-01T00:00:00Z,1.5,vess_2018_CA_rev_5k
2014-01-01T00:00:00Z,1.54,vess_2018_CA_rev_5k
2015-01-01T00:00:00Z,1.59,vess_2018_CA_rev_5k
2016-01-01T00:00:00Z,1.45,vess_2018_CA_rev_5k
2017-01-01T00:00:00Z,1.47,vess_2018_CA_rev_5k
2018-01-01T00:00:00Z,1.49,vess_2018_CA_rev_5k
1981-01-01T00:00:00Z,2.13,vess_rev_5k_fish_2018
1982-01-01T00:00:00Z,2.12,vess_rev_5k_fish_2018
1983-01-01T00:00:00Z,2.01,vess_rev_5k_fish_2018
1984-01-01T00:00:00Z,2.2,vess_rev_5k_fish_2018
1985-01-01T00:00:00Z,2.07,vess_rev_5k_fish_2018
1986-01-01T00:00:00Z,2.1,vess_rev_5k_fish_2018
1987-01-01T00:00:00Z,2.12,vess_rev_5k_fish_2018
1988-01-01T00:00:00Z,2.25,vess_rev_5k_fish_2018
1989-01-01T00:00:00Z,1.9,vess_rev_5k_fish_2018
1990-01-01T00:00:00Z,2.09,vess_rev_5k_fish_2018
1991-01-01T00:00:00Z,2.16,vess_rev_5k_fish_2018
1992-01-01T00:00:00Z,2.11,vess_rev_5k_fish_2018
1993-01-01T00:00:00Z,2.16,vess_rev_5k_fish_2018
1994-01-01T00:00:00Z,2.17,vess_rev_5k_fish_2018
1995-01-01T00:00:00Z,2.08,vess_rev_5k_fish_2018
1996-01-01T00:00:00Z,1.95,vess_rev_5k_fish_2018
1997-01-01T00:00:00Z,2.0,vess_rev_5k_fish_2018
1998-01-01T00:00:00Z,2.02,vess_rev_5k_fish_2018
1999-01-01T00:00:00Z,1.89,vess_rev_5k_fish_2018
2000-01-01T00:00:00Z,1.96,vess_rev_5k_fish_2018
2001-01-01T00:00:00Z,1.99,vess_rev_5k_fish_2018
2002-01-01T00:00:00Z,1.92,vess_rev_5k_fish_2018
2003-01-01T00:00:00Z,1.87,vess_rev_5k_fish_2018
2004-01-01T00:00:00Z,1.88,vess_rev_5k_fish_2018
2005-01-01T00:00:00Z,1.87,vess_rev_5k_fish_2018
2006-01-01T00:00:00Z,1.89,vess_rev_5k_fish_2018
2007-01-01T00:00:00Z,1.84,vess_rev_5k_fish_2018
2008-01-01T00:00:00Z,1.86,vess_rev_5k_fish_2018
