time,species_group,relative_stock_status
1915-01-01T00:00:00Z,Rex sole,1.0
1916-01-01T00:00:00Z,Rex sole,1.0
1917-01-01T00:00:00Z,Rex sole,0.991389
1918-01-01T00:00:00Z,Rex sole,0.980753
1919-01-01T00:00:00Z,Rex sole,0.973952
1920-01-01T00:00:00Z,Rex sole,0.970433
1921-01-01T00:00:00Z,Rex sole,0.9701275
1922-01-01T00:00:00Z,Rex sole,0.968181
1923-01-01T00:00:00Z,Rex sole,0.963813
1924-01-01T00:00:00Z,Rex sole,0.959923
1925-01-01T00:00:00Z,Rex sole,0.954259
1926-01-01T00:00:00Z,Rex sole,0.949483
1927-01-01T00:00:00Z,Rex sole,0.945786
1928-01-01T00:00:00Z,Rex sole,0.940159
1929-01-01T00:00:00Z,Rex sole,0.935716
1930-01-01T00:00:00Z,Rex sole,0.929855
1931-01-01T00:00:00Z,Rex sole,0.926235
1932-01-01T00:00:00Z,Rex sole,0.915245
1933-01-01T00:00:00Z,Rex sole,0.913831
1934-01-01T00:00:00Z,Rex sole,0.912968
1935-01-01T00:00:00Z,Rex sole,0.90875
1936-01-01T00:00:00Z,Rex sole,0.906209
1937-01-01T00:00:00Z,Rex sole,0.907476
1938-01-01T00:00:00Z,Rex sole,0.910004
1939-01-01T00:00:00Z,Rex sole,0.909554
1940-01-01T00:00:00Z,Rex sole,0.905017
1941-01-01T00:00:00Z,Rex sole,0.902361
1942-01-01T00:00:00Z,Rex sole,0.905715
1943-01-01T00:00:00Z,Rex sole,0.910108
1944-01-01T00:00:00Z,Rex sole,0.895752
1945-01-01T00:00:00Z,Rex sole,0.896927
1946-01-01T00:00:00Z,Rex sole,0.899157
1947-01-01T00:00:00Z,Rex sole,0.897937
1948-01-01T00:00:00Z,Rex sole,0.8890255
1949-01-01T00:00:00Z,Rex sole,0.8708855
1950-01-01T00:00:00Z,Rex sole,0.850721
1951-01-01T00:00:00Z,Rex sole,0.835746
1952-01-01T00:00:00Z,Rex sole,0.820705
1953-01-01T00:00:00Z,Rex sole,0.8012975
1954-01-01T00:00:00Z,Rex sole,0.771895
1955-01-01T00:00:00Z,Rex sole,0.7425795
1956-01-01T00:00:00Z,Rex sole,0.696015
1957-01-01T00:00:00Z,Rex sole,0.638743
1958-01-01T00:00:00Z,Rex sole,0.5958315
1959-01-01T00:00:00Z,Rex sole,0.555371
1960-01-01T00:00:00Z,Rex sole,0.525418
1961-01-01T00:00:00Z,Rex sole,0.501807
1962-01-01T00:00:00Z,Rex sole,0.47725
1963-01-01T00:00:00Z,Rex sole,0.4391
1964-01-01T00:00:00Z,Rex sole,0.3957245
1965-01-01T00:00:00Z,Rex sole,0.383761
1966-01-01T00:00:00Z,Rex sole,0.376464
1967-01-01T00:00:00Z,Rex sole,0.344341
1968-01-01T00:00:00Z,Rex sole,0.315522
1969-01-01T00:00:00Z,Rex sole,0.295825
1970-01-01T00:00:00Z,Rex sole,0.267487
1971-01-01T00:00:00Z,Rex sole,0.258185
1972-01-01T00:00:00Z,Rex sole,0.264179
1973-01-01T00:00:00Z,Rex sole,0.254307
1974-01-01T00:00:00Z,Rex sole,0.245448
1975-01-01T00:00:00Z,Rex sole,0.238605
1976-01-01T00:00:00Z,Rex sole,0.2327445
1977-01-01T00:00:00Z,Rex sole,0.223705
1978-01-01T00:00:00Z,Rex sole,0.2224205
1979-01-01T00:00:00Z,Rex sole,0.213275
1980-01-01T00:00:00Z,Rex sole,0.1973405
1981-01-01T00:00:00Z,Rex sole,0.1920045
1982-01-01T00:00:00Z,Rex sole,0.188023
1983-01-01T00:00:00Z,Rex sole,0.183198
1984-01-01T00:00:00Z,Rex sole,0.181577
1985-01-01T00:00:00Z,Rex sole,0.183291
1986-01-01T00:00:00Z,Rex sole,0.182932
1987-01-01T00:00:00Z,Rex sole,0.185506
1988-01-01T00:00:00Z,Rex sole,0.188038
1989-01-01T00:00:00Z,Rex sole,0.18957
1990-01-01T00:00:00Z,Rex sole,0.196722
1991-01-01T00:00:00Z,Rex sole,0.223212
1992-01-01T00:00:00Z,Rex sole,0.230691
1993-01-01T00:00:00Z,Rex sole,0.260032
1994-01-01T00:00:00Z,Rex sole,0.298548
1995-01-01T00:00:00Z,Rex sole,0.329682
1996-01-01T00:00:00Z,Rex sole,0.3532525
1997-01-01T00:00:00Z,Rex sole,0.381113
1998-01-01T00:00:00Z,Rex sole,0.412672
1999-01-01T00:00:00Z,Rex sole,0.4577785
2000-01-01T00:00:00Z,Rex sole,0.5012
2001-01-01T00:00:00Z,Rex sole,0.546557
2002-01-01T00:00:00Z,Rex sole,0.579173
2003-01-01T00:00:00Z,Rex sole,0.608468
2004-01-01T00:00:00Z,Rex sole,0.635988
2005-01-01T00:00:00Z,Rex sole,0.664166
2006-01-01T00:00:00Z,Rex sole,0.685678
2007-01-01T00:00:00Z,Rex sole,0.7026615
2008-01-01T00:00:00Z,Rex sole,0.7202455
2009-01-01T00:00:00Z,Rex sole,0.735308
2010-01-01T00:00:00Z,Rex sole,0.747802
2011-01-01T00:00:00Z,Rex sole,0.765197
2012-01-01T00:00:00Z,Rex sole,0.783949
2013-01-01T00:00:00Z,Rex sole,0.799698
1876-01-01T00:00:00Z,Petrale sole,1.0
1877-01-01T00:00:00Z,Petrale sole,0.999988
1878-01-01T00:00:00Z,Petrale sole,0.999971
1879-01-01T00:00:00Z,Petrale sole,0.999955
1880-01-01T00:00:00Z,Petrale sole,0.99994
1881-01-01T00:00:00Z,Petrale sole,0.999724
